DataSpaceName,Status,ActivationId,ActivationName,entityName,Fieldname
default,ACTIVE,85R4X000000Gmc5UAC,CONTRATACAO_LIS_CONTRAT,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000GmdIUAS,SF38032,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000GmdJUAS,SF38038,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000GmdrUAC,NCC_IAS_Inatividade_CA0010435,Cadastro_Cartao_de_Credito__dlm,id__c
,,,,informa_o_Cadastral_CHPRAS__dlm,cod_prod_ccre__c
,,,,,Dias_da_ltima_compra__c
,,,,,vlr_limi_dspz_ccor__c
,,,,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,85R4X000000GmeBUAS,SF11409_SMS,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000GmfTUAS,OPTOUT_PUSH_PF,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000GmhPUAS,SF33212,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000GmhUUAS,MD_VULNERAVEIS_GO,Modelo_Midias_Mensal__dlm,id_mboe__c
,,,,Relacionamento_Ita_CPF_Anal_tico__dlm,cod_sexo__c
,,,,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,Sigla_Estado_Cliente__c
,,,,,ssot__Id__c
,,,,,Ultimo_Nome__c
,,85R4X000000GmjfUAC,HUIUGO,Modelo_Midias_Mensal__dlm,id_mboe__c
,,,,Relacionamento_Ita_CPF_Anal_tico__dlm,cod_sexo__c
,,,,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,Sigla_Estado_Cliente__c
,,,,,ssot__Id__c
,,,,,Ultimo_Nome__c
,,85R4X000000GmjkUAC,MD_HUIPGO,Modelo_Midias_Mensal__dlm,id_mboe__c
,,,,Relacionamento_Ita_CPF_Anal_tico__dlm,cod_sexo__c
,,,,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,Sigla_Estado_Cliente__c
,,,,,ssot__Id__c
,,,,,Ultimo_Nome__c
,,85R4X000000GmjQUAS,MD_HUIP,Modelo_Midias_Mensal__dlm,id_mboe__c
,,,,Relacionamento_Ita_CPF_Anal_tico__dlm,cod_sexo__c
,,,,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,Sigla_Estado_Cliente__c
,,,,,ssot__Id__c
,,,,,Ultimo_Nome__c
,,85R4X000000GmjVUAS,MD_HUIU,Modelo_Midias_Mensal__dlm,id_mboe__c
,,,,Relacionamento_Ita_CPF_Anal_tico__dlm,cod_sexo__c
,,,,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,Sigla_Estado_Cliente__c
,,,,,ssot__Id__c
,,,,,Ultimo_Nome__c
,,85R4X000000GmlMUAS,CONTRATACAO_CREDIARIO,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000GmoQUAS,OPTOUT_PUSH_CC_PF,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000GmtGUAS,SF37476,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000GmtHUAS,SF37487,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000GmtQUAS,SF37478,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000GmtuUAC,SF37496,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000GmtVUAS,SF37481,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000Gmu4UAC,SF37477,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000GmuEUAS,SF37489,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000GmuJUAS,SF37513,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000GmuKUAS,SF37485,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000GmuOUAS,SF37499,ssot__Individual__dlm,Primeiro_Nome__c
,,,,,ssot__Id__c
,,85R4X000000GmwFUAS,Iti_Segmentacao_OptOut_Email,ssot__Individual__dlm,ssot__Id__c
,,,,TBHF9ME_ITI_CLIE_DOMN_CADA__dlm,ind_optout_email__c
,,85R4X000000GmwoUAC,NCC_CA0009339,Cadastro_Cartao_de_Credito__dlm,dat_emis_plas_crto__c
,,,,,dat_soli_desb_crto__c
,,,,,id__c
,,,,,num_crto__c
,,,,,Solicita_o_Desbloqueio__c
,,,,informa_o_Cadastral_CHPRAS__dlm,dat_ulti_copr__c
,,,,,Dias_da_ltima_compra__c
,,,,,Nmero_CHPRAS__c
,,,,,vlr_limi_dspz_ccor__c
,,,,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,85R4X000000Gn9nUAC,NCC_CA0008889,Cadastro_Cartao_de_Credito__dlm,Chave_Produto__c
,,,,,dat_soli_desb_crto__c
,,,,,dias_soli_desblo_cart__c
,,,,,id__c
,,,,,num_crto__c
,,,,informa_o_Cadastral_CHPRAS__dlm,cod_prod_ccre__c
,,,,,Nmero_CHPRAS__c
,,,,,vlr_limi_dspz_ccor__c
,,,,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,85R4X000000GnIuUAK,Atualiza_email_IS_PJ,Contatos_Pessoa__dlm,N_mero_Telefone_Completo__c
,,,,ssot__Individual__dlm,IdPessoa__c
,,,,,ssot__Id__c
,,85R4X000000GnJOUA0,Segmento_Metas_NaoCriouMeta,ssot__Individual__dlm,ssot__Id__c
,,,,TBHF9ME_ITI_CLIE_DOMN_CADA__dlm,des_prmo_nom_clie__c
,,,,TBHF9ME_ITI_CLIE_DOMN_CMPO__dlm,des_stat_clie__c
,,,,,qtd_meno_prdo_sem_tran__c
,,,,TBHF9ME_ITI_CLIE_DOMN_CONT__dlm,ind_pssu_meta_ativ__c
,,,,,ind_pssu_meta_cdtd__c
,,85R4X000000GnkUUAS,NCC_CA0010738,Cadastro_Cartao_de_Credito__dlm,Dias_Emissao_Plastico_Cartao__c
,,,,,id__c
,,,,,num_crto__c
,,,,informa_o_Cadastral_CHPRAS__dlm,vlr_limi_dspz_ccor__c
,,,,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,85R4X000000GnlwUAC,RENEG_SAIDA_LEMBRETE,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000GnMDUA0,NCC_CA13146,Cadastro_Cartao_de_Credito__dlm,id__c
,,,,,num_crto__c
,,,,informa_o_Cadastral_CHPRAS__dlm,cod_prod_ccre__c
,,,,,dat_ulti_copr__c
,,,,,Dias_da_ltima_compra__c
,,,,,vlr_limi_dspz_ccor__c
,,,,ssot__Individual__dlm,GC_Universal__c
,,,,,Primeiro_Nome__c
,,85R4X000000GnQ0UAK,CART_DWP_LATAM_INTERNACIONAL,Modelo_Midias_Mensal__dlm,id_mboe__c
